"p","d","q","AIC","BIC","AICc"
0,2,0,736.800213592951,739.076879711967,736.857356450094
0,2,1,695.033001593656,699.586333831688,695.206914637134
0,2,2,679.9504824033,686.780480760348,680.30342357977
0,2,3,652.101314730817,661.207979206881,652.69832965619
0,2,4,650.229638323517,661.612968918597,651.138729232608
0,2,5,634.612885040361,648.272881754457,635.905192732668
1,2,0,721.569362165298,726.12269440333,721.743275208776
1,2,1,692.885033383143,699.715031740191,693.237974559614
1,2,2,680.087826195225,689.194490671289,680.684841120598
1,2,3,652.673279487869,664.05661008295,653.58237039696
1,2,4,651.718953429808,665.378950143905,653.011261122116
1,2,5,634.05356968953,649.990232522642,635.80356968953
2,2,0,630.476770742074,637.306769099122,630.829711918544
2,2,1,621.430569523118,630.537233999183,622.027584448492
2,2,2,617.011990910228,628.395321505308,617.921081819319
2,2,3,600.493957470318,614.153954184414,601.786265162626
2,2,4,585.615318564313,601.551981397425,587.365318564313
3,2,0,621.012705829342,630.119370305406,621.609720754715
3,2,1,622.225487912854,633.608818507935,623.134578821945
3,2,2,620.666634903014,634.32663161711,621.958942595321
3,2,3,613.126298337042,629.062961170154,614.876298337042
